stair.thisTrialN,stair.stepSize,stair.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
41,0.5,2.0,75.86769830000003,76.36745930000006,76.36745930000006,76.36745930000006,76.66733339999973,right,2.0,1,1,0.5938274000000092,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
42,0.5,2.0,76.98439430000008,77.48400179999999,77.48400179999999,77.48400179999999,77.78439089999983,right,2.0,1,1,0.9816708000003018,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
43,0.5,2.0,78.48434390000011,78.98451679999971,78.98451679999971,78.98451679999971,79.28366800000003,right,2.0,1,1,0.47185250000029555,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
44,0.5,1.5,79.48361459999978,79.9839965000001,79.9839965000001,79.9839965000001,80.28354089999993,left,-1.5,1,1,0.4933596000005309,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
45,0.5,1.5,80.50023229999988,81.00009649999993,81.00009649999993,81.00009649999993,81.29996600000004,left,-1.5,1,1,0.36732019999999466,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
46,0.5,1.5,81.40047319999985,81.9000062,81.9000062,81.9000062,82.20007669999995,right,1.5,1,1,0.7815211000001909,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
47,0.5,1.0,82.69985619999989,83.1994166999998,83.1994166999998,83.1994166999998,83.49867399999994,right,1.0,0,0,0.44712509999999384,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
48,0.5,1.5,83.66576559999976,84.16630159999977,84.16630159999977,84.16630159999977,84.46592939999982,right,1.5,0,0,0.5315482999999404,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
49,0.5,2.0,84.7164614999997,85.2157887999997,85.2157887999997,85.2157887999997,85.51547189999974,right,2.0,1,1,0.7415220000002591,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
50,0.5,2.0,85.98225079999975,86.48257960000001,86.48257960000001,86.48257960000001,86.78230350000013,right,2.0,1,1,0.6464781000004223,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
51,0.5,2.0,87.14841369999976,87.64848649999976,87.64848649999976,87.64848649999976,87.94874699999991,left,-2.0,1,1,0.7230552000000898,307387,001,2023-09-06_23h31.07.459,adaptivestaircase,2023.1.3,59.949738139528954,
